DF4_Demon_Hunter_Havoc,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%,Unnamed: 14
Annihilation,33233,0.088,56.0,5.11s,177859.0,199098.0,Direct,112,44728.0,114824.0,88968.0,0.631,0.0,
auto_attack_mh,12147,0.032,178.1,1.96s,20447.0,11737.0,Direct,178.1,11417.0,28747.0,20447.0,0.629,0.163,
auto_attack_oh,5920,0.016,174.1,1.96s,10196.0,5859.0,Direct,174.1,5709.0,14374.0,10196.0,0.628,0.168,
Blade Dance,0 (16686),0.0% (4.4%),21.0,12.64s,238617.0,203809.0,,,,,,,,
    Throw Glaive (_bd_throw),2126 (4250),0.6% (1.1%),21.0,12.64s,60787.0,0.0,Direct,21.0 (41.9),15886.0,39590.0,30417.0,61.3% (61.4%),0.0,
        Throw Glaive (_furious_throws_bd_throw),2124,0.006,0.0,0.00s,0.0,0.0,Direct,20.9,15883.0,39549.0,30437.0,0.615,0.0,
    Blade Dance (_first_blood),12436,0.033,0.0,0.00s,0.0,0.0,Direct,83.8,23357.0,57824.0,44507.0,0.614,0.0,
Broodkeeper's Blaze,8274,0.022,16.1,17.83s,153816.0,0.0,Periodic,43.1,29614.0,74210.0,57608.0,0.628,0.0,0.287
Burning Wound,4033,0.011,0.0,0.00s,0.0,0.0,Periodic,99.3,6236.0,15676.0,12181.0,0.63,0.0,0.993
Chaos Strike,25127,0.067,76.2,3.43s,98898.0,83559.0,Direct,152.2,25650.0,64026.0,49475.0,0.621,0.0,
Chaotic Disposition,22286,0.059,943.6,0.42s,7080.0,0.0,Direct,943.3,7083.0,0.0,7083.0,0,0.0,
Death Sweep,0 (40860),0.0% (10.8%),21.9,13.49s,559171.0,633634.0,,,,,,,,
    Throw Glaive (_ds_throw),2511 (5025),0.7% (1.3%),21.8,13.58s,69226.0,0.0,Direct,21.8 (43.5),17310.0,43788.0,34600.0,65.3% (65.1%),0.0,
        Throw Glaive (_furious_throws_ds_throw),2514,0.007,0.0,0.00s,0.0,0.0,Direct,21.7,17384.0,44032.0,34683.0,0.649,0.0,
    Death Sweep (_first_blood),35835,0.095,0.0,0.00s,0.0,0.0,Direct,87.6,59789.0,156744.0,122732.0,0.649,0.0,
Demon Blades,12378,0.033,293.9,2.03s,12624.0,0.0,Direct,293.9,6459.0,16258.0,12625.0,0.629,0.0,
Echoed Flare,21909 (23348),5.8% (6.2%),13.9,20.57s,505101.0,0.0,Direct,13.9 (19.4),242341.0,609761.0,474209.0,63.1% (63.6%),0.0,
    Anvil Strike,1439,0.004,5.5,60.14s,78351.0,0.0,Direct,5.5,39388.0,99537.0,78353.0,0.648,0.0,
Essence Break,6635,0.018,7.3,43.77s,273119.0,305143.0,Direct,7.3,129857.0,333494.0,273119.0,0.704,0.0,
Eye Beam,4909 (11594),1.3% (3.1%),9.9,31.29s,351283.0,262586.0,Periodic,98.8 (197.6),7201.0,18432.0,14900.0,68.5% (68.4%),0.0,4.1% (10.7%)
    Fel Devastation (collective_anguish),6685,0.018,0.0,0.00s,0.0,0.0,Periodic,98.7,9838.0,25192.0,20311.0,0.682,0.0,0.066
Fel Rush,9121,0.024,31.5,9.55s,86748.0,162609.0,Direct,31.5,42967.0,111586.0,86749.0,0.638,0.0,
Felblade,8186,0.022,30.1,10.02s,81651.0,162132.0,Direct,30.1,42292.0,105575.0,81652.0,0.622,0.0,
Igira's Cruel Nightmare,0 (8007),0.0% (2.1%),8.0,34.21s,300998.0,0.0,,,,,,,,
    Flaying Torment,8007,0.021,8.0,34.21s,300998.0,0.0,Periodic,22.5,106791.0,0.0,106791.0,0,0.0,0.15
Immolation Aura,14350,0.038,19.3,15.34s,222788.0,209583.0,Direct,19.3 (19.3),15016.0,37478.0,30185.0,67.5% (67.5%),0.0,
,,,,,,,Periodic,199.4 (19.3),9005.0,22891.0,18641.0,69.4% (69.4%),0.0,0.0% (0.0%)
Metamorphosis (_impact),396,0.001,0.0,0.00s,0.0,0.0,Direct,2.9,20303.0,52284.0,41447.0,0.661,0.0,
Sigil of Flame,6073,0.016,8.4,36.24s,216296.0,199142.0,Direct,8.4,30943.0,77226.0,59700.0,0.621,0.0,
,,,,,,,Periodic,33.1,20488.0,51331.0,39884.0,0.629,0.0,0.221
Soulscar,26533,0.07,0.0,0.00s,0.0,0.0,Periodic,138.8,57335.0,0.0,57335.0,0,0.0,0.925
Stormslash (_oh),1978,0.005,8.0,34.00s,74003.0,0.0,Direct,8,37815.0,94981.0,74004.0,0.633,0.0,
The Hunt,26731,0.071,6.6,48.91s,1220683.0,1163373.0,Direct,6.5,194185.0,495699.0,384436.0,0.631,0.0,
,,,,,,,Periodic,60.8,45730.0,115594.0,90074.0,0.635,0.0,0.256
Thorn Spirit,9666 (14497),2.6% (3.8%),7.9,34.33s,547391.0,0.0,Periodic,33.2 (78.5),44904.0,112463.0,87293.0,62.7% (62.7%),0.0,33.2% (33.2%)
    Thorn Burst,4830,0.013,45.2,5.62s,32064.0,0.0,Direct,45.2,16487.0,41320.0,32064.0,0.627,0.0,
Throw Glaive,499 (997),0.1% (0.3%),4.9,56.82s,61497.0,53420.0,Direct,4.8 (9.7),16108.0,40127.0,30809.0,61.2% (61.4%),0.0,
    Throw Glaive (_furious_throws),498,0.001,0.0,0.00s,0.0,0.0,Direct,4.8,16067.0,39988.0,30783.0,0.615,0.0,
Throw Glaive (_t31_proc),3252 (6491),0.9% (1.7%),85.6,3.45s,22732.0,0.0,Direct,85.6 (171.1),5810.0,14645.0,11392.0,63.2% (63.1%),0.0,
    Throw Glaive (_furious_throws_t31_proc),3239,0.009,0.0,0.00s,0.0,0.0,Direct,85.5,5802.0,14617.0,11362.0,0.631,0.0,
Trail of Ruin,8293,0.022,0.0,0.00s,0.0,0.0,Periodic,169.7,7549.0,18931.0,14658.0,0.625,0.0,0.559
Vengeful Retreat,256,0.001,14.2,21.56s,5395.0,0.0,Direct,14.2,2802.0,7032.0,5395.0,0.613,0.0,
Vicious Brand,22454,0.06,24.3,12.05s,279927.0,0.0,Periodic,120.5 (120.5),28950.0,72605.0,56447.0,63.0% (63.0%),0.0,40.2% (40.2%)
    Radiating Brand,0,0,46.3,2.26s,,,,,,,,,,
